year,region_code,small business,large business
2000,DR01,-0.000266921725204039,0.23170731707317072
2000,DR02,0.0028771064529387047,0.2937883231138363
2000,DR03,-0.00315172031400468,0.21195652173913038
2000,DR04,0.00010167768174884628,0.15083798882681565
2000,DR05,-0.021050024764735054,0.09012875536480691
2000,DR06,-0.015786749482401663,0.15384615384615374
2000,DR07,-0.01081373344147063,0.06557377049180335
2000,DR08,-0.025205761316872466,0.23863636363636354
2001,DR01,0.0949605072866837,-0.05049504950495054
2001,DR02,0.09563435495367067,-0.01545435812899243
2001,DR03,0.08718053807195769,0.004484304932735439
2001,DR04,0.08092720618137461,-0.03883495145631066
2001,DR05,0.06923012058352307,0.04724409448818889
2001,DR06,0.06126742045753342,-0.09523809523809523
2001,DR07,0.06094561355561634,-0.0461538461538461
2001,DR08,0.09445910290237469,0.08256880733944949
2002,DR01,0.0025196594395788807,0.10948905109489049
2002,DR02,0.0017510476469280167,0.016743407283382084
2002,DR03,-0.00993618224412307,0.028273809523809534
2002,DR04,-0.008653122648607958,0.045454545454545414
2002,DR05,-0.031782334384858,-0.015037593984962405
2002,DR06,-0.04410307234886024,-0.04210526315789476
2002,DR07,-0.026275115919629055,-0.016129032258064502
2002,DR08,0.0012857602057216866,0.07627118644067798
2003,DR01,0.05405679307619038,-0.02725563909774431
2003,DR02,0.06429669235431645,-0.04281597365170853
2003,DR03,0.03296344647519578,-0.05643994211287984
2003,DR04,0.10853889943074013,0.05797101449275366
2003,DR05,0.009774374847275391,-0.01908396946564883
2003,DR06,-0.0007776049766718973,0.03296703296703307
2003,DR07,0.020370370370370372,-0.049180327868852514
2003,DR08,0.04125200642054572,0.023622047244094446
2004,DR01,0.04534266594877323,0.0028985507246377384
2004,DR02,0.04556479292197402,0.041290322580645133
2004,DR03,0.03799368088467614,0.07361963190184051
2004,DR04,0.025333789798014372,0.004566210045662045
2004,DR05,0.008873114463176623,0.011673151750972721
2004,DR06,-0.009857328145265853,-0.021276595744680882
2004,DR07,-0.005185377236193944,-0.017241379310344862
2004,DR08,0.03129335594265448,0.08461538461538454
2005,DR01,-0.003274346050549992,0.043352601156069426
2005,DR02,-0.0024315991168432083,0.05638166047087978
2005,DR03,0.0022829312837684412,0.06714285714285717
2005,DR04,-0.012520868113522488,0.022727272727272707
2005,DR05,-0.033181418405692775,0.04615384615384621
2005,DR06,-0.04558553838092738,-0.10869565217391308
2005,DR07,-0.034923117018504035,0.10526315789473695
2005,DR08,-0.0037369207772794955,0.24113475177304955
2006,DR01,0.028790786948176494,0.01846722068328721
2006,DR02,0.010023107748408311,0.03382209188660812
2006,DR03,0.03254625060106808,0.08032128514056236
2006,DR04,0.021048182586644204,0.0755555555555556
2006,DR05,-0.017284154813099528,0.05882352941176472
2006,DR06,-0.026077408729069496,-0.03658536585365857
2006,DR07,-0.015392924655684537,0.04761904761904767
2006,DR08,0.020105026256564074,0.1657142857142857
2007,DR01,0.1237442594718714,-0.1314596554850408
2007,DR02,0.1439555559845933,-0.19251134644478063
2007,DR03,0.16743057427878139,-0.07434944237918217
2007,DR04,0.047686066727378185,-0.07438016528925617
2007,DR05,0.09787090801986031,-0.1597222222222222
2007,DR06,0.054114994363021474,0.05063291139240511
2007,DR07,0.11821173889193637,0.1515151515151516
2007,DR08,0.17782026768642445,-0.2598039215686274
2008,DR01,0.09452124772516846,0.04592901878914413
2008,DR02,0.08145329040914406,0.03583138173302114
2008,DR03,0.10791517950871299,0.029451137884872747
2008,DR04,0.10256815487949433,-0.008928571428571397
2008,DR05,0.08293729878890077,0.016528925619834656
2008,DR06,0.07085561497326198,-0.012048192771084376
2008,DR07,0.07750797154770672,-0.02631578947368418
2008,DR08,0.08316683316683315,-0.0066225165562914245
2009,DR01,0.08072867289937724,-0.021956087824351322
2009,DR02,0.06283747932207628,-0.006556635767578589
2009,DR03,0.07430358158044337,-0.020806241872561748
2009,DR04,0.0637138966530495,-0.05405405405405406
2009,DR05,0.08260192525481314,-0.012195121951219523
2009,DR06,0.06092384519350813,0.04878048780487809
2009,DR07,0.00250398361028914,-0.06756756756756754
2009,DR08,0.03631542540926902,-0.06666666666666665
2010,DR01,0.5704202542578747,-0.0591836734693878
2010,DR02,0.5352473037758152,-0.01843422849340004
2010,DR03,0.4725794217777073,-0.01859229747675961
2010,DR04,0.6013340520145534,0.01904761904761898
2010,DR05,0.39529257927427275,0.0
2010,DR06,0.5394210402447635,0.04651162790697683
2010,DR07,0.3935059037238873,-0.07246376811594202
2010,DR08,0.287017465791523,-0.021428571428571463
2011,DR01,0.004666351566192661,-0.005422993492407824
2011,DR02,0.008194075494525777,-0.06005100857871548
2011,DR03,-0.002299896983780969,-0.05953991880920162
2011,DR04,-0.011949341523961765,-0.05607476635514019
2011,DR05,-0.013401433859706713,-0.03292181069958844
2011,DR06,-0.028436018957345932,-0.16666666666666663
2011,DR07,-0.006843734723806394,-0.015625
2011,DR08,0.008038724176679057,0.058394160583941535
2012,DR01,0.27369384473261027,0.06106870229007644
2012,DR02,0.24353264272297803,0.08337444499259994
2012,DR03,0.27237363428983064,0.048920863309352525
2012,DR04,0.2926372269301196,0.06930693069306937
2012,DR05,0.21144621230111604,0.05957446808510647
2012,DR06,0.1937057435090479,0.1333333333333333
2012,DR07,0.24807219031993433,0.20634920634920628
2012,DR08,0.24978562853712916,0.10344827586206895
2013,DR01,0.047896309727678776,0.03699897225077087
2013,DR02,0.08066475570380449,0.04348816029143898
2013,DR03,0.044151506001358864,0.07407407407407418
2013,DR04,0.03034096524460561,-0.01851851851851849
2013,DR05,0.040616301407456756,0.004016064257028162
2013,DR06,0.029923543369364536,0.07058823529411762
2013,DR07,0.024188247666622864,-0.052631578947368474
2013,DR08,0.05324185248713542,0.06875000000000009
2014,DR01,0.09149752943212186,0.01783944499504453
2014,DR02,0.1185587296320938,0.05171285184377039
2014,DR03,0.08300573855677551,0.017879948914431676
2014,DR04,0.06967003453126996,0.04245283018867929
2014,DR05,0.0643484157781713,0.08000000000000007
2014,DR06,0.0696275438371945,0.04395604395604402
2014,DR07,0.04877422667180076,0.0
2014,DR08,0.07921308058106957,0.16959064327485374
2015,DR01,0.02153081954507563,-0.003894839337877265
2015,DR02,0.029972279152250092,0.01784232365145222
2015,DR03,0.020727636849132258,0.038895859473023764
2015,DR04,0.002301599163054835,0.04977375565610864
2015,DR05,-0.004530813068563955,-0.029629629629629672
2015,DR06,0.03099198276893622,0.05263157894736836
2015,DR07,0.0018357606168155627,-0.02777777777777779
2015,DR08,0.013037967042916598,-0.0050000000000000044
2016,DR01,0.016634000264396764,0.013685239491691092
2016,DR02,0.028203965589078672,0.03179779861394216
2016,DR03,0.015050194565253028,0.03985507246376807
2016,DR04,0.007515209352260577,-0.03448275862068961
2016,DR05,-0.0048003413576076515,-0.003816793893129722
2016,DR06,-0.0033658310120705526,0.010000000000000009
2016,DR07,-0.0026875152699731286,-0.042857142857142816
2016,DR08,0.00345587797175706,-0.025125628140703515
2017,DR01,0.023869964664311016,0.05014464802314378
2017,DR02,0.038971854571025144,0.04741209008297109
2017,DR03,0.025554705432287772,0.023228803716608626
2017,DR04,0.014059910016575916,0.03125
2017,DR05,0.006895812491067632,0.015325670498084198
2017,DR06,0.004075928729474709,-0.03960396039603964
2017,DR07,-0.011513963743263078,0.0
2017,DR08,-0.0020782613859035015,-0.046391752577319534
2018,DR01,-0.0013142128251710794,0.02846648301193766
2018,DR02,0.014627459359007222,0.02433044134288953
2018,DR03,0.004507688199908877,0.04086265607264483
2018,DR04,-0.0035027292098426255,0.02164502164502169
2018,DR05,-0.013874596359249147,0.09811320754716979
2018,DR06,-0.005103224309904841,0.10309278350515472
2018,DR07,-0.01759603469640647,0.05970149253731338
2018,DR08,-0.008449363322622916,-0.1351351351351351
2019,DR01,0.008570212154219492,0.07767857142857149
2019,DR02,0.015725252548092872,0.026514454060025727
2019,DR03,0.005425605103508646,0.04252998909487449
2019,DR04,0.0008201763379127591,0.06355932203389836
2019,DR05,-0.012234616768621809,0.0034364261168384758
2019,DR06,-0.022266262532058767,0.10280373831775691
2019,DR07,-0.021695257315842542,-0.014084507042253502
2019,DR08,-0.024843975036005772,-0.018750000000000044
